Station_Name,Transport_Mode,Line,Latitude,Longitude,Additional_Info
VAKOLA PIPE LINE,Bus,BEST,19.0807667,72.8521,
VAKOLA POLICE STATION,Bus,BEST,19.08343,72.846759,
VAKOLA POLICE STATION (HANUMAN MANDIR),Bus,BEST,19.079012,72.847227,
VAKOLA POLICE STATION,Bus,BEST,19.082129,72.846313,
VIDYA NAGARI (KALINA),Bus,BEST,19.073356,72.860971,
VIDYA NAGARI (KALINA),Bus,BEST,19.073365,72.860809,
VIDYA NAGARI (KALINA) NEHRU LIBRARY,Bus,BEST,19.071114,72.85872,
VIDYA NAGARI (KALINA) NEHRU LIBRARY,Bus,BEST,19.071132,72.85892,
VIDYA VIHAR BUS STATION (W),Bus,BEST,19.079958,72.89659,
ACHARYA VINOBA BHAVE NAGAR (KURLA-W),Bus,BEST,19.073718,72.881513,
"NEHRU NAGAR (KURLA-E), TILAK NAGAR JUNCTION",Bus,BEST,19.068337,72.888138,
VIDYA NAGARI (KALINA),Bus,BEST,19.073347,72.860923,
ACHARYA ATRE CHOWK (WORLI NAKA),Bus,BEST,18.996907,72.816531,
ADARSH NAGAR (WORLI VILLAGE),Bus,BEST,19.016434,72.822004,
ADARSH NAGAR (WORLI VILLAGE),Bus,BEST,19.015929,72.823068,
AGAR BAZAR,Bus,BEST,19.018619,72.833942,
SANTACRUZ POLICE STATION,Bus,BEST,19.084344,72.835498,
SANTACRUZ POLICE STATION,Bus,BEST,19.083277,72.834586,
SANTACRUZ POLICE STATION,Bus,BEST,19.082943,72.834473,
SANTACRUZ STATION (W) ROAD,Bus,BEST,19.080289,72.837829,
SHASTRI NAGAR (JUHU),Bus,BEST,19.087243,72.834517,
SHOPPERS STOP (ANDHERI-W),Bus,BEST,19.115381,72.843268,
SHOPPERS STOP (ANDHERI-W),Bus,BEST,19.114568,72.842518,
STATE BANK (VILE PARLE-W),Bus,BEST,19.110602,72.829852,
SUKHMANI SOCIETY,Bus,BEST,19.113231,72.829859,
VAIKUNTH DHAM,Bus,BEST,19.115367,72.823176,
VAIKUNTH DHAM,Bus,BEST,19.115262,72.823234,
VILE PARLE (W),Bus,BEST,19.102216,72.83939,
YASHODHAM,Bus,BEST,19.088073,72.832901,
MITHIBAI COLLEGE,Bus,BEST,19.103597,72.836937,
DR.COOPER HOSPITAL,Bus,BEST,19.108945,72.837086,
BHARAT NAGAR (VESAVE),Bus,BEST,19.125413,72.822579,
JUHU SHOPPING CENTRE (JVPD),Bus,BEST,19.116062,72.835122,
"D.N.NAGAR, BARFIWALA VIDYALAYA",Bus,BEST,19.123928,72.830497,
INDIAN OIL NAGAR (ANDHERI-W),Bus,BEST,19.127307,72.831046,
ESIC NAGAR,Bus,BEST,19.121979,72.829904,
AZAD NAGAR (KALINA),Bus,BEST,19.078653,72.866688,
AMAR BRASS & STEEL COMPANY,Bus,BEST,19.071976,72.865627,
"ANJANABAI MAGAR CHOWK, SWATANTRA SAINIK SURVE CHOWK",Bus,BEST,19.071466,72.875604,
"ANJANABAI MAGAR CHOWK, SWATANTRA SAINIK SURVE CHOWK",Bus,BEST,19.070011,72.875367,
BAIL BAZAR,Bus,BEST,19.086438,72.881013,
BUDDHA NAGAR (KURLA-W),Bus,BEST,19.073456,72.880326,
CHIRAG NAGAR,Bus,BEST,19.08658,72.898117,
DATTA MANDIR (VAKOLA),Bus,BEST,19.083,72.8532333,
DR.AMBEDKAR BHAVAN (VIDYA NAGARI),Bus,BEST,19.072169,72.854653,
GAONDEVI JUNCTION (VAKOLA),Bus,BEST,19.0824,72.8535667,
GOL BUILDING (KURLA-W),Bus,BEST,19.067446,72.874998,
"INDIRA NAGAR (KAMANI), KHALAI VILLAGE",Bus,BEST,19.081971,72.894366,
JARIMARI (SAKINAKA),Bus,BEST,19.094687,72.883413,
KALINA,Bus,BEST,19.077775,72.862897,
KALPANA CINEMA,Bus,BEST,19.077285,72.878528,
KAMANI,Bus,BEST,19.084669,72.885489,
KAMANI,Bus,BEST,19.085103,72.886478,
KAMANI,Bus,BEST,19.085085,72.887019,
KAMANI,Bus,BEST,19.085067,72.887238,
PHOENIX MILL,Bus,BEST,18.995107,72.825583,
"PODDAR HOSPITAL (WORLI), SIDDHARTH NAGAR",Bus,BEST,19.002706,72.815671,
"PODDAR HOSPITAL (WORLI), SIDDHARTH NAGAR",Bus,BEST,19.001296,72.815435,
POLICE CAMP (WORLI),Bus,BEST,19.008053,72.814431,
PRABHADEVI,Bus,BEST,19.013656,72.829396,
PRABHADEVI,Bus,BEST,19.013285,72.828513,
PRABHADEVI,Bus,BEST,19.015959,72.82834,
PRABODHANKAR THACKERAY CHOWK (DADAR-W),Bus,BEST,19.020049,72.836562,
RANADE ROAD (DADAR-W),Bus,BEST,19.021603,72.837559,
"DR.RAVINDRA KULKARNI CHOWK, SASMIRA (WORLI)",Bus,BEST,19.010127,72.820356,
"MAHALAXMI RACE COURSE, ZENITH HOUSE",Bus,BEST,18.979708,72.820297,
"MAHALAXMI RACE COURSE, ZENITH HOUSE",Bus,BEST,18.979917,72.820819,
"AMBIKA MILL BUS STATION, H.U.RAKHANGI CHOWK",Bus,BEST,18.988013,72.822816,
RAM GANESH GADKARI CHOWK (DADAR-W),Bus,BEST,19.026086,72.840851,
RAM GANESH GADKARI CHOWK (DADAR-W),Bus,BEST,19.026628,72.840927,
"JARIMARI MATA MANDIR, S.T.OFFICE (WORLI)",Bus,BEST,18.995,72.815697,
SAYANI MARG,Bus,BEST,19.010613,72.831516,
VEER HUTATMA BHAI KOTWAL UDYAN (PLAZA),Bus,BEST,19.02297,72.842392,
